brand,model,year,age_years,mileage_km,fuel_type,transmission,region,accident_history,owners_count,engine_cc,price_krw,export_demand_index
Hyundai,Santa Fe,2018,8,98042,Дизель,Автомат,Пусан,0,3,2497,5700000,1.026
Chevrolet,Trailblazer,2024,2,34905,Бензин,Автомат,Ульсан,0,3,1600,20700000,1.129
Genesis,G80,2023,3,55384,Гибрид,Автомат,Кёнгидо (Ансан),0,2,2199,34900000,1.322
Hyundai,Santa Fe,2022,4,52698,Бензин,Автомат,Инчхон,0,1,1998,22300000,1.328
Chevrolet,Trailblazer,2017,9,141735,Бензин,Автомат,Пусан,0,1,2999,4200000,0.872
Hyundai,Tucson,2023,3,38211,Бензин,Автомат,Тэгу,0,2,2199,21200000,1.195
Kia,K5,2020,6,105975,Бензин,Автомат,Ульсан,0,1,2999,9400000,1.063
Ssangyong,Torres,2016,10,169005,Гибрид,Автомат,Инчхон,0,2,2999,4500000,0.836
Chevrolet,Trailblazer,2019,7,113348,Дизель,Автомат,Кёнгидо (Ансан),0,3,1600,4200000,0.872
Kia,Sportage,2016,10,106330,Гибрид,Автомат,Сеул,0,3,2999,4600000,0.882
Genesis,G80,2024,2,22943,Дизель,Автомат,Тэгу,0,1,2199,41400000,1.461
Hyundai,Sonata,2019,7,111866,Дизель,Автомат,Кёнгидо (Ансан),0,3,1600,5800000,0.821
Genesis,G80,2025,1,8874,Гибрид,Автомат,Кёнгидо (Ансан),0,2,1998,49000000,1.021
Hyundai,Tucson,2026,0,11655,Гибрид,Автомат,Сеул,0,3,1998,30100000,0.836
Hyundai,Avante,2026,0,628,Бензин,Автомат,Инчхон,0,1,1600,20100000,0.718
Hyundai,Avante,2023,3,35766,Бензин,Автомат,Сеул,0,1,2999,14300000,0.93
Kia,Carnival,2023,3,43427,Гибрид,Автомат,Пусан,0,1,2999,28500000,1.262
Renault Korea,QM6,2024,2,36938,Гибрид,Автомат,Ульсан,0,3,1600,17900000,1.021
Renault Korea,QM6,2024,2,46800,Бензин,Автомат,Кёнгидо (Ансан),1,2,1600,16000000,0.847
Hyundai,Sonata,2021,5,73898,Бензин,Автомат,Пусан,0,3,1600,9700000,1.063
Kia,Sorento,2024,2,31658,Дизель,Автомат,Кёнгидо (Ансан),1,1,1600,26200000,0.996
Kia,Sportage,2023,3,40825,Бензин,Автомат,Ульсан,0,3,1600,23700000,1.262
Hyundai,Santa Fe,2020,6,73492,Дизель,Автомат,Ульсан,0,1,1998,12600000,1.328
Chevrolet,Trailblazer,2018,8,103786,Дизель,Автомат,Пусан,0,2,1998,5500000,0.872
Renault Korea,QM6,2025,1,10012,Бензин,Автомат,Инчхон,0,1,2999,23000000,0.872
Renault Korea,QM6,2021,5,70361,Бензин,Автомат,Сеул,0,2,2497,11300000,1.129
Genesis,G80,2017,9,116783,Бензин,Автомат,Инчхон,0,1,2999,8200000,1.129
Kia,Sportage,2017,9,168211,Гибрид,Автомат,Сеул,1,3,2999,4600000,0.662
Kia,Carnival,2019,7,98450,Дизель,Автомат,Ульсан,0,3,2497,7600000,1.078
Kia,Sportage,2022,4,70845,Бензин,Автомат,Кёнгидо (Ансан),0,2,1998,18900000,1.262
Genesis,G80,2016,10,206678,Дизель,Автомат,Кёнгидо (Ансан),1,2,2199,8200000,0.847
Kia,K5,2026,0,500,Дизель,Автомат,Инчхон,0,2,1600,24100000,0.821
Hyundai,Sonata,2018,8,158819,Гибрид,Механика,Сеул,0,1,1600,4700000,0.581
Hyundai,Santa Fe,2026,0,1217,Гибрид,Автомат,Пусан,0,1,2199,35000000,0.929
Genesis,G80,2026,0,3386,Гибрид,Автомат,Тэгу,1,2,2999,49000000,0.766
Chevrolet,Trailblazer,2023,3,52449,Бензин,Автомат,Сеул,0,1,2199,19900000,1.129
Hyundai,Santa Fe,2022,4,79374,LPG,Автомат,Инчхон,0,3,1600,20300000,1.202
Hyundai,Santa Fe,2025,1,5186,Дизель,Автомат,Кёнгидо (Ансан),0,2,2999,28900000,1.026
Hyundai,Tucson,2017,9,124099,Бензин,Механика,Сеул,0,2,2497,4800000,0.723
Hyundai,Santa Fe,2022,4,65643,Гибрид,Автомат,Сеул,0,1,1600,18800000,1.202
Renault Korea,QM6,2024,2,13285,Гибрид,Автомат,Сеул,0,3,2999,21300000,1.021
Ssangyong,Torres,2020,6,72549,Дизель,Автомат,Пусан,0,1,2497,10700000,1.195
Hyundai,Tucson,2020,6,98020,Дизель,Автомат,Кёнгидо (Ансан),0,1,1998,10500000,1.195
Renault Korea,QM6,2017,9,150054,Бензин,Автомат,Пусан,0,1,2497,3900000,0.872
Genesis,G80,2022,4,91720,Бензин,Автомат,Сеул,0,1,2497,28500000,1.461
Kia,Carnival,2017,9,74559,Бензин,Автомат,Инчхон,0,1,1998,6300000,1.078
